dataset,backbone,method,seed,recall20,ndcg20,log
Amazon-VG,SimGCL,base,22,0.07538,0.03585,log/runs/v3_Amazon-VG_SimGCL_base_s22_test_k20_train.log
Amazon-VG,SimGCL,IPS,20,0.06963,0.03204,log/runs/v3_Amazon-VG_SimGCL_final_IPS_IPS_l30_s20_test_k20_train.log
Amazon-VG,SimGCL,IPS,21,0.06932,0.03301,log/runs/v3_Amazon-VG_SimGCL_final_IPS_IPS_l30_s21_test_k20_train.log
Amazon-VG,SimGCL,IPS,22,0.0647,0.03032,log/runs/v3_Amazon-VG_SimGCL_final_IPS_IPS_l30_s22_test_k20_train.log
Amazon-VG,SimGCL,DICE,20,0.06463,0.03205,log/runs/v3_Amazon-VG_SimGCL_final_DICE_DICE_a0.05_s20_test_k20_train.log
Amazon-VG,SimGCL,DICE,21,0.06107,0.03101,log/runs/v3_Amazon-VG_SimGCL_final_DICE_DICE_a0.05_s21_test_k20_train.log
Amazon-VG,SimGCL,DICE,22,0.06191,0.0312,log/runs/v3_Amazon-VG_SimGCL_final_DICE_DICE_a0.05_s22_test_k20_train.log
Amazon-VG,SimGCL,DDC,20,0.06899,0.03366,log/runs/v3_Amazon-VG_SimGCL_final_DDC_DDC_k0.3_s20_test_k20_train.log
Amazon-VG,SimGCL,DDC,21,0.06982,0.03382,log/runs/v3_Amazon-VG_SimGCL_final_DDC_DDC_k0.3_s21_test_k20_train.log
Amazon-VG,SimGCL,DDC,22,0.07178,0.03489,log/runs/v3_Amazon-VG_SimGCL_final_DDC_DDC_k0.3_s22_test_k20_train.log
Amazon-VG,SimGCL,PDA,20,0.10016,0.04943,log/runs/v3_Amazon-VG_SimGCL_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-VG,SimGCL,PDA,21,0.10903,0.05192,log/runs/v3_Amazon-VG_SimGCL_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-VG,SimGCL,PDA,22,0.10631,0.05014,log/runs/v3_Amazon-VG_SimGCL_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-VG,SimGCL,TIDE,20,0.08324,0.045,log/runs/v3_Amazon-VG_SimGCL_final_TIDE_TIDE_q-1b-3_tau3000000_s20_test_k20_train.log
Amazon-VG,SimGCL,TIDE,21,0.08588,0.04419,log/runs/v3_Amazon-VG_SimGCL_final_TIDE_TIDE_q-1b-3_tau3000000_s21_test_k20_train.log
Amazon-VG,SimGCL,TIDE,22,0.08493,0.04512,log/runs/v3_Amazon-VG_SimGCL_final_TIDE_TIDE_q-1b-3_tau3000000_s22_test_k20_train.log
Amazon-VG,SimGCL,CausalEPP,20,0.0734,0.03532,log/runs/v3_Amazon-VG_SimGCL_final_CausalEPP_CEPP_sm64a0.25_s20_test_k20_train.log
Amazon-VG,SimGCL,CausalEPP,21,0.07592,0.037,log/runs/v3_Amazon-VG_SimGCL_final_CausalEPP_CEPP_sm64a0.25_s21_test_k20_train.log
Amazon-VG,SimGCL,CausalEPP,22,0.07549,0.03607,log/runs/v3_Amazon-VG_SimGCL_final_CausalEPP_CEPP_sm64a0.25_s22_test_k20_train.log
Amazon-VG,SimGCL,STFR,20,0.11249,0.05259,log/runs/v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s20_test_k20.log
Amazon-VG,SimGCL,STFR,21,0.11237,0.05381,log/runs/v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s21_test_k20.log
Amazon-VG,SimGCL,STFR,22,0.11526,0.05519,log/runs/v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s22_test_k20.log
Amazon-Movies,SimGCL,base,20,0.05703,0.02779,log/runs/v3_Amazon-Movies_SimGCL_base_s20_test_k20_train.log
Amazon-Movies,SimGCL,base,21,0.05726,0.02777,log/runs/v3_Amazon-Movies_SimGCL_base_s21_test_k20_train.log
Amazon-Movies,SimGCL,base,22,0.0584,0.02809,log/runs/v3_Amazon-Movies_SimGCL_base_s22_test_k20_train.log
Amazon-Movies,SimGCL,IPS,20,0.05352,0.026,log/runs/v3_Amazon-Movies_SimGCL_final_IPS_IPS_l10_s20_test_k20_train.log
Amazon-Movies,SimGCL,IPS,21,0.05155,0.02508,log/runs/v3_Amazon-Movies_SimGCL_final_IPS_IPS_l10_s21_test_k20_train.log
Amazon-Movies,SimGCL,IPS,22,0.05018,0.02406,log/runs/v3_Amazon-Movies_SimGCL_final_IPS_IPS_l10_s22_test_k20_train.log
Amazon-Movies,SimGCL,DICE,20,0.04725,0.0234,log/runs/v3_Amazon-Movies_SimGCL_final_DICE_DICE_a0.05_s20_test_k20_train.log
Amazon-Movies,SimGCL,DICE,21,0.04696,0.02326,log/runs/v3_Amazon-Movies_SimGCL_final_DICE_DICE_a0.05_s21_test_k20_train.log
Amazon-Movies,SimGCL,DICE,22,0.04682,0.02265,log/runs/v3_Amazon-Movies_SimGCL_final_DICE_DICE_a0.05_s22_test_k20_train.log
Amazon-Movies,SimGCL,DDC,20,0.05085,0.02442,log/runs/v3_Amazon-Movies_SimGCL_final_DDC_DDC_k0.7_s20_test_k20_train.log
